Date,Open,High,Low,Close,Volume
11/10/2021,150.02,150.13,147.85,147.92,65187090
11/11/2021,148.96,149.43,147.68,147.87,40999950
11/12/2021,148.43,150.40,147.48,149.99,63804010
11/15/2021,150.37,151.88,149.43,150.00,59222800
11/16/2021,149.94,151.49,149.34,151.00,59256210
11/17/2021,151.00,155.00,150.99,153.49,88807000
11/18/2021,153.71,158.67,153.05,157.87,137827700
11/19/2021,157.65,161.02,156.53,160.55,117305600
11/22/2021,161.68,165.70,161.00,161.02,117467900
11/23/2021,161.12,161.80,159.06,161.41,96041900
11/24/2021,160.75,162.14,159.64,161.94,69463620
11/26/2021,159.57,160.45,156.36,156.81,76959750
11/29/2021,159.37,161.19,158.79,160.24,88748220
11/30/2021,159.99,165.52,159.92,165.30,174048100
12/1/2021,167.48,170.30,164.53,164.77,152423000
12/2/2021,158.74,164.20,157.80,163.76,136739200
12/3/2021,164.02,164.96,159.72,161.84,118023100
